Time,European Union,China,Brazil,India,United Kingdom,United States
2002,0.327303473,0.842471895,0.185122836,0.394314533,0.307627256,0.511755145
2003,0.327789753,0.870188364,0.17556643,0.368078364,0.299906571,0.493957043
2004,0.312433645,0.893153479,0.170876562,0.356400316,0.282394465,0.469689719
2005,0.298636335,0.883572474,0.162089494,0.335175994,0.273470951,0.441245674
2006,0.27478701,0.84040085,0.153037478,0.321736567,0.255696761,0.409181318
2007,0.253996956,0.778182375,0.147573998,0.320079052,0.242329565,0.396312692
2008,0.23639952,0.716890978,0.146012224,0.324625733,0.226182334,0.376332658
2009,0.223044929,0.698108135,0.136077871,0.328545367,0.212715924,0.356154652
2010,0.221412194,0.684556301,0.142172452,0.317401434,0.210145137,0.358304379
2011,0.205107538,0.670492989,0.140815211,0.312677277,0.188444452,0.331646812
2012,0.198206281,0.630886708,0.151484007,0.310318822,0.190669764,0.304913777
2013,0.18689149,0.616900293,0.155346687,0.304504007,0.175933335,0.302323954
2014,0.172551109,0.584458145,0.160525604,0.316635179,0.15471656,0.290997837
2015,0.170427231,0.554095607,0.160988213,0.301407934,0.143533807,0.27412415
2016,0.160813086,0.527715339,0.152114888,0.283807307,0.130031719,0.261806418
2017,0.15375319,0.507667952,0.151220421,0.280346544,0.119805167,0.247405756
2018,0.143404509,0.483192443,0.137951827,0.271783961,0.114091869,0.242376979
2019,0.128269909,0.456755455,0.133988726,0.257845776,0.10512221,0.22541602
